address,url,description,rooms,winterized,price,surface,year,original_price,latitude,longitude,distance,duration,first_posting_date,last_posting_date
"Siikamäentie 50c, Leuhu, Saarijärvi",https://www.etuovi.com/kohde/w36339,tupakeittiö + parvi + sauna + pukuhuone,1,NO,64000.0,25.5,1986,69000.0,62.68660260000001,25.2360009,329 km,3 hours 36 mins,2024-07-08,2024-08-05
"Peltolantie 93, Kukkola, Pälkäne",https://www.etuovi.com/kohde/43430638,Mökki tai huvila,,NO,126000.0,,1977,126000.0,61.3377237,24.4346873,145 km,1 hour 37 mins,2024-07-16,2024-08-05
"Lapinsaari 20, Kesamonsaari, Savonlinna",https://www.etuovi.com/kohde/1370920,"1h, alkovi, sauna",1,NO,49000.0,25.0,2016,59000.0,61.81648019999999,28.6473213,339 km,4 hours 11 mins,2024-07-08,2024-08-05
"Talvitie 137B, Paalasmaa, Juuka",https://www.etuovi.com/kohde/21792882,Tpk + 2 pientä huonetta (alkovia) + komp.sisäwc + eteistilat,,YES,108000.0,64.0,2008,124000.0,63.273678,29.44485,515 km,6 hours 12 mins,2024-07-08,2024-08-05
"Matinsaarenraitti 35, Itä- Karttula, Kuopio",https://www.etuovi.com/kohde/20228242,3h + k + s + khh,3,YES,365000.0,107.0,2014,365000.0,62.9069356,27.2062891,393 km,4 hours 22 mins,2024-07-16,2024-08-05
"Käsämäntie 16, Sotkuma, Polvijärvi",https://www.etuovi.com/kohde/20297004,"tupakeittiö, makuuhuone.",,YES,55000.0,20.0,1990,55000.0,62.73403980000001,29.4248565,419 km,4 hours 36 mins,2024-07-16,2024-08-05
"Erkkilänjuntu 84, Niinimaa, Alavus",https://www.etuovi.com/kohde/559453,tupak. + 2h,2,NO,119000.0,31.0,1997,119000.0,62.6288128,23.4143863,327 km,3 hours 38 mins,2024-07-08,2024-08-05
"Siikaniementie 202, Orala, Kangasniemi",https://www.etuovi.com/kohde/574201,"Tupa, k",1,NO,69000.0,28.0,1970,79000.0,62.095829,26.451163,258 km,2 hours 53 mins,2024-07-08,2024-08-05
"Ahvenniementie 172, Nilsiä, Kuopio",https://www.etuovi.com/kohde/21092642,Mökki tai huvila,,YES,279000.0,76.5,2019,279000.0,63.0695208,27.9630376,435 km,4 hours 45 mins,2024-07-16,2024-08-05
"Uimaniementie 105, Vuottolahti, Kajaani",https://www.etuovi.com/kohde/21759347,2h + tupakeittiö + ph + s + wc + tekninen tila,,NO,275000.0,88.5,2008,295000.0,64.1858518,27.2230756,551 km,6 hours 2 mins,2024-07-16,2024-08-05
