address,url,description,rooms,winterized,price,original_price,surface,year,latitude,longitude,distance,duration,first_posting_date,last_posting_date
"Turuntie 956, Pyöli, Somero",https://www.etuovi.com/kohde/568298,"3h, ruokailuhuone, aula, kph, vh, wc",3.0,NO,269000.0,269000.0,110.0,1947.0,60.6515887,23.3590339,118 km,1 hour 32 mins,2024-07-08,2024-07-08
"Loukoshaara 31C, Loukonen, Eura",https://www.etuovi.com/kohde/21542357,"Mökki 1: tupa / kk, 2mh, 73 m2, rak. -69 Mökki 2: tupa / kk, mh, 65 m2, rak. -84",,YES,67000.0,67000.0,73.0,1969.0,61.114202,21.9150269,215 km,2 hours 42 mins,2024-07-08,2024-07-08
"Valkjärvenrantatie 54, Kruusila, Salo",https://www.etuovi.com/kohde/80356940,"tupa, kph, sauna, veranta.",1.0,NO,259000.0,259000.0,,2024.0,60.35833179999999,23.4007846,107 km,1 hour 12 mins,2024-07-08,2024-07-08
"Martinnotkontie 51, Pihlajavesi, Keuruu",https://www.etuovi.com/kohde/20894523,2 mh + tupakeittiö + parvi + wc + p + terassi,3.0,YES,278000.0,278000.0,74.0,2007.0,62.395087,24.415372,307 km,3 hours 31 mins,2024-07-08,2024-07-08
"Järvenpääntie 129 C, 522, Mikkeli",https://www.etuovi.com/kohde/21525233,"Tupa, keittokomero, alkovi",,NO,85000.0,85000.0,25.5,,61.417903,27.3423328,237 km,2 hours 33 mins,2024-07-08,2024-07-08
"Kähköläntie 281 C, Anttola, Mikkeli",https://www.etuovi.com/kohde/w29783,1h + kk + s + parvi,1.0,YES,165000.0,165000.0,31.0,1971.0,61.57248939999999,27.5752343,246 km,2 hours 40 mins,2024-07-08,2024-07-08
"Peltokyläntie 231b, Peltokylä, Saarijärvi",https://www.etuovi.com/kohde/w29778,1h + kk + ma,3.0,NO,55000.0,55000.0,25.0,1983.0,62.8067051,25.528152,340 km,3 hours 49 mins,2024-07-08,2024-07-08
"Kemijärventie 375 D, Ala-Kitka/Virrankylä, Kuusamo",https://www.etuovi.com/kohde/80335397,"Luxussauna, oleskelu- / majoitustilat, 2 x kotarakennus + talousrakennukset",,NO,225000.0,225000.0,48.0,2018.0,66.251178,29.122103,835 km,9 hours 14 mins,2024-07-08,2024-07-08
"Sammalisentie 92, Pylkönmäki, Saarijärvi",https://www.etuovi.com/kohde/21765538,3 mh + oh / k + et + komposti-wc,,NO,115000.0,115000.0,100.0,2012.0,62.6336969,24.8431322,341 km,3 hours 49 mins,2024-07-08,2024-07-08
"Paavolantie 93, Virrat, Virrat",https://www.etuovi.com/kohde/576391,"Tupakeittiö, 2h, kph / wc, rantasauna",3.0,NO,47000.0,47000.0,65.0,1920.0,62.2329804,23.8637371,275 km,3 hours 5 mins,2024-07-08,2024-07-08
"Kiviniementie, Kankari, Kihniö",https://www.etuovi.com/kohde/576381,"2h, k, ph, wc",2.0,NO,190000.0,190000.0,60.0,2010.0,62.2016537,23.15005,286 km,3 hours 5 mins,2024-07-08,2024-07-08
"Kaitlammentie 118, Tervalampi, Vihti",https://www.etuovi.com/kohde/21176366,"Iso tupa, keittiö ja makuualkovi, huonekorkeus 4,20 m, voi rakentaa tarvittaessa parven.",2.0,NO,350000.0,350000.0,73.0,2023.0,60.3374348,24.4786176,50.9 km,45 mins,2024-07-08,2024-07-08
"Kaunistontie 353, Parantala, Äänekoski",https://www.etuovi.com/kohde/20157671,"tupa, kk, alkovi, parvi, kuisti",,NO,134000.0,134000.0,32.0,1990.0,62.6670261,25.5011064,316 km,3 hours 28 mins,2024-07-08,2024-07-08
"Paalijärventie 278, Paalijärvi, Alajärvi",https://www.etuovi.com/kohde/575857,1h + k + s,1.0,NO,69000.0,69000.0,28.0,1987.0,63.0555854,23.9122881,383 km,4 hours 17 mins,2024-07-08,2024-07-08
"Valijärvenkuja 73, Mustiala, Tammela",https://www.etuovi.com/kohde/575804,"1h, kk, s",1.0,NO,32000.0,32000.0,15.5,1975.0,60.8183884,23.7698105,121 km,1 hour 24 mins,2024-07-08,2024-07-08
"Sivihiekantie 34, Liesjärvi, Keuruu",https://www.etuovi.com/kohde/539360,3h + k + wc + parvi,3.0,NO,119000.0,119000.0,59.0,2005.0,62.4506662,24.5032123,310 km,3 hours 31 mins,2024-07-08,2024-07-08
"Joutsenpolku 8, Nummi, Lohja",https://www.etuovi.com/kohde/21647062,"4mh, oh, k, rt, takka, terassi, takka, aitta, saunarakennus.",5.0,YES,349000.0,349000.0,80.0,1987.0,60.3946364,23.87230983542536,76.0 km,57 mins,2024-07-08,2024-07-08
"Hiienrannantie 2B, Kivilahti, Ilomantsi",https://www.etuovi.com/kohde/1362697,"tupa, keittiö, sauna, pukuhuone",2.0,NO,42000.0,42000.0,50.0,1978.0,62.9691985,30.4950413,492 km,5 hours 31 mins,2024-07-08,2024-07-08
"Ukonniementie 258a, Jaala, Kouvola",https://www.etuovi.com/kohde/1368026,"2 mh, tupa, k, wc, parvi",4.0,NO,170000.0,170000.0,55.0,2006.0,61.0700742,26.5062187,158 km,1 hour 54 mins,2024-07-08,2024-07-08
"Kuoksenjärvi 70, Päijälä, Jämsä",https://www.etuovi.com/kohde/575603,Tupakeittiö + makuuhuone + psh / wc + s + tilava parvi + parveke,2.0,NO,170000.0,170000.0,53.0,2005.0,61.8619823,25.1802074,219 km,2 hours 30 mins,2024-07-08,2024-07-08
"Saarenmaantie 4, Salmenkylä, Kangasniemi",https://www.etuovi.com/kohde/575501,"Tupa, alkovi, pukuhuone, sauna",1.0,NO,58000.0,58000.0,34.0,1954.0,62.00478879999999,26.6665765,242 km,2 hours 39 mins,2024-07-08,2024-07-08
"Kirkkosaarentie 308 C, Lammassalo, Pielavesi",https://www.etuovi.com/kohde/575862,"1h, tupak",1.0,NO,78000.0,78000.0,21.5,2009.0,63.280026,26.659056,425 km,4 hours 54 mins,2024-07-08,2024-07-08
"Juntulantie 108, Taipalsaari",https://www.etuovi.com/kohde/33010698,Mökki tai huvila,1.0,NO,175000.0,175000.0,30.0,,61.167381,27.9124323,246 km,2 hours 55 mins,2024-07-08,2024-07-08
"Autioniementie 24 D, Kiitämäjärvi, Kuusamo",https://www.etuovi.com/kohde/80306008,tupa + keittiö + 4 mh,5.0,NO,125000.0,125000.0,161.0,1990.0,66.0018681,29.7619529,840 km,9 hours 26 mins,2024-07-08,2024-07-08
"Härkäniementie 14-24, Norola, Mikkeli",https://www.etuovi.com/kohde/w29676,2mh + avok + oh + khh + s + ph + 2xwc + parvi,,YES,259000.0,259000.0,99.0,2005.0,61.7023674,27.4027256,232 km,2 hours 27 mins,2024-07-08,2024-07-08
"Kolulantie 37, Mäntylä, Viitasaari",https://www.etuovi.com/kohde/w29668,4h + k + s + wc + at + var,4.0,NO,14500.0,14500.0,100.0,1953.0,63.0518411,26.1321555,376 km,4 hours 23 mins,2024-07-08,2024-07-08
"Kuivasen saari, Litmaniemi, Kuopio",https://www.etuovi.com/kohde/w29667,3h + k + kph + s + var + wc,,NO,79500.0,79500.0,60.0,1988.0,62.73380399999999,28.1624643,396 km,4 hours 24 mins,2024-07-08,2024-07-08
"Korpraali Kortmanintie 24, Terälahti, Tampere",https://www.etuovi.com/kohde/575631,"2h, k, parvi + rantasauna jossa tupa, parvi, kph ja sauna",2.0,NO,280000.0,280000.0,44.0,1998.0,61.7082385,23.9003169,205 km,2 hours 9 mins,2024-07-08,2024-07-08
"Karstuntie 330, Haukilahti, Lohja",https://www.etuovi.com/kohde/21458051,"7h, k, khh, 2kph / wc, eril.wc, s at 265m2 ja 2h, k, wc, kph, s, kel.at, var. 69m2",6.0,YES,1380000.0,1380000.0,334.0,,60.270897,24.0366648,63.6 km,44 mins,2024-07-08,2024-07-08
"Kiviahontie 570b, Niemisvesi, Ähtäri",https://www.etuovi.com/kohde/20846509,Oh + 2mh + k + s + ph / wc + parvi + terassi,,NO,89000.0,89000.0,46.0,2008.0,62.6753596,24.2256968,337 km,3 hours 47 mins,2024-07-08,2024-07-08
"Iso-Haukisentie 94, Ampiala, Keuruu",https://www.etuovi.com/kohde/20677255,Kk + saunatupa + parvi + sauna / psh ja terassit,,NO,79800.0,79800.0,20.0,2010.0,62.39670419999999,24.9240257,291 km,3 hours 34 mins,2024-07-08,2024-07-08
"Sorvantie 226, Keskusta, Virrat",https://www.etuovi.com/kohde/w29634,Tupa + makuualkovi + k + mh,2.0,NO,66000.0,66000.0,37.5,1972.0,62.2654804,23.8259348,283 km,3 hours 7 mins,2024-07-08,2024-07-08
"Vehmaskyläntie 135, Vehmaskylä, Mikkeli",https://www.etuovi.com/kohde/1368592,"Tupakeittiö, oh, 2x makuukammarit",4.0,NO,75000.0,75000.0,74.4,1988.0,61.8311574,27.3907443,245 km,2 hours 39 mins,2024-07-08,2024-07-08
"Karviankyläntie, Sarvela, Karvia",https://www.etuovi.com/kohde/21855537,"Tupa, k, s, pukuh, huone",2.0,NO,54000.0,54000.0,39.0,1957.0,62.2112734,22.6551333,299 km,3 hours 16 mins,2024-07-08,2024-07-08
"Palopellontie 96, Ristiina, Mikkeli",https://www.etuovi.com/kohde/1369582,"Tupa, 2 kamaria, keittiö, pesutilat",3.0,NO,189000.0,189000.0,112.0,1934.0,61.482979150000006,27.36138230059204,234 km,2 hours 34 mins,2024-07-08,2024-07-08
"Punaniementie 55, Tiihalanniemi, Orivesi",https://www.etuovi.com/kohde/20487785,Tupak + mh + wc,2.0,YES,177000.0,177000.0,49.0,2017.0,61.72135619999999,24.6538142,227 km,2 hours 21 mins,2024-07-08,2024-07-08
"Syväjärventie 56, Kotala, Virrat",https://www.etuovi.com/kohde/w29483,oh + avokeittiö + makuusoppi + mh + vh + s + ph + wc,2.0,NO,125000.0,125000.0,57.0,1972.0,62.24090479999999,23.7701706,276 km,3 hours 2 mins,2024-07-08,2024-07-08
"Erähiekantie 18, Löpö, Lieksa",https://www.etuovi.com/kohde/80357769,2h + k + yläkerta huoneet / rantasauna + grillikota + puuliiteri,2.0,NO,73000.0,73000.0,60.0,2002.0,63.3185051,30.0264527,522 km,5 hours 50 mins,2024-07-08,2024-07-08
"Huitunkärki 60, Piittala, Orivesi",https://www.etuovi.com/kohde/575620,"4h, k, rt, vh, pkh, s",4.0,NO,178000.0,178000.0,87.0,1960.0,61.679233,24.638877,228 km,2 hours 26 mins,2024-07-08,2024-07-08
"Santurinpolku 22, Urajärvi, Asikkala",https://www.etuovi.com/kohde/21481795,"Tupa, parvi, kuisti, parveke",,NO,135000.0,135000.0,55.0,2010.0,61.1698342,25.7771198,134 km,1 hour 35 mins,2024-07-08,2024-07-08
"Putajantie 16, Kiikala, Lohja",https://www.etuovi.com/kohde/21055096,Oh + k + et + avovintti,,NO,69000.0,69000.0,35.0,,60.3619982,23.7368067,86.4 km,59 mins,2024-07-08,2024-07-08
"Sammakkopolku 66, Rantakylä, Karstula",https://www.etuovi.com/kohde/v36284,Tupa + k + 2 mh + wv + pukuh + pesuh + s,3.0,NO,149000.0,149000.0,74.0,1991.0,62.876147,24.6802813,364 km,4 hours 9 mins,2024-07-08,2024-07-08
