name,location,network,type,address,website,latitude,longitude
Noormarkun terveysasema,Pori,,Health Center,"Eva Ahlströmintie 8, 29600 Noormarkku",,61.593408,21.855845
Pihlavan terveysasema,Pori,,Health Center,"Päretie 2, 28800 Pori",,61.558785,21.612176
Pohjois-Porin sote-keskus (Sote-keskus Cotton),Pori,,Health Center,"Siltapuistokatu 2, 28100 Pori",,61.493295,21.798929
Reposaaren terveysasema,Pori,,Health Center,"Kirkkokatu 24, 28900 Pori",,61.612348,21.443983
Merikarvian terveysasema,Merikarvia,,Health Center,"Antintie 52, 29900 Merikarvia",,61.856527,21.516324
Ulvilan terveyskeskus,Ulvila,,Health Center,"Välskärintie 1, 28450 Vanha-Ulvila",,62.184229,21.804278
Kullaan terveysasema,Ulvila,,Health Center,"Koskitie 17, 29340 Kullaa ",,61.468509,22.188768
Satasairaalan päivystys,Pori,,Health Center,"Satasairaala, K-rakennus, Sairaalantie 3, 28500 Pori","Satasairaala, Päi­vys­tys, Yhteystiedot ja sairaala-alueen kartta",61.473804,21.779165
Enon terveysasema ,Joensuu,,Health Center,"Enontie 52, 81200 Eno",Enon terveysasema (Arkistoitu – Internet Archive),62.785873,30.159538
Kiihtelysvaaran terveysasema ,Joensuu,,Health Center,"Aprakkatie 2, 82140 Kiihtelysvaara",Kiihtelysvaaran terveysasema (Arkistoitu – Internet Archive),62.494663,30.251085
Kontiolahden terveysasema ,Kontiolahti,,Health Center,"Aputie 1, 81100 Kontiolahti",Kontiolahden terveysasema (Arkistoitu – Internet Archive),62.75574,29.849227
Lehmon terveysasema ,Kontiolahti,,Health Center,"Kylmäojantie 49, 80710 Lehmo",Lehmon terveysasema (Arkistoitu – Internet Archive),62.66667,29.8
Niinivaaran terveysasema ,Joensuu,,Health Center,"Suvikatu 18, 2. krs, 80200 Joensuu",Niinivaaran terveysasema (Arkistoitu – Internet Archive),62.589237,29.788864
Outokummun terveysasema,Outokumpu,,Health Center,"Sairaalankatu 8, 83500 Outokumpu",Outokummun terveysasema (Arkistoitu – Internet Archive),62.733538,29.006203
Pyhäselän terveysasema,Joensuu,,Health Center,"Sähkötie 22, 82200 Hammaslahti",Pyhäselän terveysasema (Arkistoitu – Internet Archive),62.43333,29.96667
Rantakylän terveysasema,Joensuu,,Health Center,"Ruoritie 3, 80160 Joensuu",Rantakylän terveysasema (Arkistoitu – Internet Archive),62.614103,29.816315
Siilaisen terveysasema,Joensuu,,Health Center,"Noljakantie 17a, 80130 Joensuu",Siilaisen terveysasema (Arkistoitu – Internet Archive),62.616691,29.72342
Tuupovaaran terveysasema,Joensuu,,Health Center,"Alatie 18, 82730 Tuupovaara",Tuupovaaran terveysasema (Arkistoitu – Internet Archive),62.480912,30.619478
Pohjois-Karjalan keskussairaalan yhteispäivystys ,Joensuu,,Health Center,"Pohjois-Karjalan keskussairaala, J2-talon katutaso, Tikkamäentie 16, 80210 Joensuu",Pohjois-Karjalan keskussairaalan yhteispäivystys (siunsote.fi),62.592482,29.779628
Armilan terveysasema,Lappeenranta,,Health Center,"Armilankatu 44, 53100 Lappeenranta",Armilan terveysasema,61.060204,28.213742
Joutsenon hyvinvointiasema,Lappeenranta,,Health Center,"Välskärintie 2, 54100 Joutseno",Joutsenon hyvinvointiasema,61.115486,28.504563
Lauritsalan hyvinvointiasema,Lappeenranta,,Health Center,"Karjalantie 2, 53300 Lappeenranta",Huom! Lauritsalan terveysasema ei enää ollut toiminnassa 9/2022 (Arkistoitu – Internet Archive),61.068647,28.253481
Sammonlahden hyvinvointiasema,Lappeenranta,,Health Center,"Torpanpellonkatu 2, 53850 Lappeenranta",Sammonlahden hyvinvointiasema,61.050194,28.111667
Honkaharjun terveysasema,Imatra,,Health Center,"Honkaharju 4, 55800 Imatra",Honkaharjun terveysasema,61.221952,28.821624
Lemin hyvinvointiasema,Lemi,,Health Center,Toukkalantie 3. 54710 Lemi,Lemin hyvinvointiasema,61.062823,27.802998
Luumäen hyvinvointiasema,Luumäki,,Health Center,"Marttilantie 28, 54500 Taavetti",Luumäen hyvinvointiasema,60.919688,27.566528
Parikkalan hyvinvointikeskus,Parikkala,,Health Center,"Lehmuskuja 3, 59100 Parikkala",Parikkalan hyvinvointikeskus,61.558659,29.498369
Rautjärven hyvinvointiasema,Rautjärvi,,Health Center,"Viipurinkatu 6, 56800 Simpele",https://eksote.fi/asiakkaalle/toimipisteet/hyvinvointi-ja-terveysasemat/rautjarven-hyvinvointiasema/ Rautjärven hyvinvointiasema],61.430811,29.359456
Ruokolahden hyvinvointiasema,Ruokolahti,,Health Center,"Nällisuontie 7, 56100 Ruokolahti",Ruokolahden hyvinvointiasema,61.2942,28.819181
Savitaipaleen hyvinvointiasema,Savitaipale,,Health Center,"Maitolantie 7, 54800 Savitaipale",Savitaipaleen hyvinvointiasema,61.199609,27.67691
Taipalsaaren hyvinvointiasema,Taipalsaari,,Health Center,"Muukkolantie 4, 54920 Taipalsaari",Taipalsaaren hyvinvointiasema,61.174136,28.050809
Etelä-Karjalan keskussairaalan päivystys,Lappeenranta,,Health Center,"Valto Käkelän katu 1, 53130 Lappeenranta",Etelä-Karjalan keskussairaala,61.065157,28.210571
Honkaharjun sairaalan ilta- ja viikonloppupäivystys,Imatra,,Health Center,"Honkaharju 4, 55800 Imatra",Honkaharjun sairaala (Arkistoitu – Internet Archive),61.221952,28.821624
Hauhon terveysasema,Hämeenlinna,,Health Center,"Vihniöntie 5, 14700 Hauho",Hauhon terveysasema (Arkistoitu – Internet Archive),61.172794,24.566103
Idänpään terveysasema,Hämeenlinna,,Health Center,"Anttilankatu 4, 13210 Hämeenlinna",Idänpään terveysasema (Arkistoitu – Internet Archive),61.005588,24.498505
Jukolan terveysasema,Hämeenlinna,,Health Center,"Eeronkuja 6, 13500 Hämeenlinna",Jukolan terveysasema (Arkistoitu – Internet Archive),60.983144,24.419043
Kalvolan terveysasema,Hämeenlinna,,Health Center,"Nordstedtintie 6, 14500 Iittala",Kalvolan terveysasema (Arkistoitu – Internet Archive),61.094658,24.145899
Lammin terveysasema,Hämeenlinna,,Health Center,"Evontie 33, 16900 Lammi",Lammin terveysasema (Arkistoitu – Internet Archive),61.089264,25.001055
Ojoisten terveysasema,Hämeenlinna,,Health Center,"Veteraanipolku 1, 13600 Hämeenlinna",Ojoisten terveysasema (Arkistoitu – Internet Archive),61.011868,24.437528
Rengon terveysasema,Hämeenlinna,,Health Center,"Rengonraitti 28, 14300 Renko",Rengon terveysasema,60.893381,24.287276
Viipurintien terveysasema,Hämeenlinna,,Health Center,"Viipurintie 1-3, D-rak 2. krs, E-rak 1. krs, G-rak P-krs, 13200 Hämeenlinna (PL 560, 13111 Hämeenlinna)",Viipurintien terveysasema (Arkistoitu – Internet Archive),60.998694,24.475355
Parolan terveysasema,Hattula,,Health Center,"Parolantie 42, 13720 Parola",Parolan terveysasema (Arkistoitu – Internet Archive),61.055537,24.369788
Tervakosken terveysasema,Janakkala,,Health Center,"Kivimiehentie 2, 12400 Tervakoski",Tervakosken terveysasema (Arkistoitu – Internet Archive),60.818486,24.619977
Turengin terveysasema,Janakkala,,Health Center,"Tapailanpiha 13 B, 14200 Turenki",Turengin terveysasema (Arkistoitu – Internet Archive),60.928152,24.645809
Lopen lähiasema,Loppi,,Health Center,"Pajatie 1, 12700 Loppi","Perusterveydenhuolto, Ajanvaraus omalääkäri-omahoitajatyöparille (Arkistoitu – Internet Archive) (Arkistoitu – Internet Archive)",60.720027,24.439968
Oitin lähisasema,Hausjärvi,,Health Center,"Kuusitie 10–18, 12100 Oitti","Perusterveydenhuolto (Arkistoitu – Internet Archive), Ajanvaraus omalääkäri-omahoitajatyöparille (Arkistoitu – Internet Archive) (Arkistoitu – Internet Archive)",60.785145,25.027306
