name,location,network,type,address,website,latitude,longitude
Keskustan terveysasema,Lohja,,Health Center,"Ojamonkatu 36, 08100 Lohja",,60.245935,24.055238
(Mäntynummen terveysasema),Lohja,,Health Center,"(Mäntynummenkuja 3 A, 08500 Lohja) toimipiste lopetettu",-,60.270486,24.124439
Pusulan terveysasema,Lohja,,Health Center,"Arvelankuja 1, 03850 Pusula",Oma Lääkärisi Pusula (Mehiläinen),60.473795,23.986413
Sammatin terveysasema,Lohja,,Health Center,"Kalevalantie 2 B, 09220 Sammatti",Oma Lääkärisi Sammatti (Arkistoitu – Internet Archive) (Mehiläinen),60.31856,23.820628
(Virkkalan terveysasema),Lohja,,Health Center,"(Virkkalantie 7, 08700 Lohja)  toimipiste lopetettu",-,60.185179,23.994959
Lohjan sairaalan päivystys,Lohja,,Health Center,"Lohjan sairaala, Sairaalatie 8, B-ovi, 08200 Lohja ",Lohjan sairaala: Päivystys,60.222748,24.01623
Hyvinkään terveysasema,Hyvinkää,,Health Center,"Sandelininkatu 1, A- ja B-rak., 05800 Hyvinkää",,60.632381,24.867286
Hyvinkään sairaalan yhteispäivystys,Hyvinkää,,Health Center,"Sairaalakatu 1, 05850 Hyvinkää ",Hyvinkään sairaalan päivystys: Hyvinkää Akuutti,60.632189,24.860028
Nurmijärven kirkonkylän terveysasema,Nurmijärvi,,Health Center,"Sairaalantie 2, 01900 Nurmijärvi",,60.468153,24.806265
Rajamäen terveysasema,Nurmijärvi,,Health Center,"Terveystie 1, 05200 Rajamäki",,60.528657,24.764408
Klaukkalan terveysasema,Nurmijärvi,,Health Center,"Vaskomäentie 2, 01800 Klaukkala ",,60.379827,24.747401
Järvenpään uusi sosiaali- ja terveyskeskus (JUST),Järvenpää,,Health Center,"Lääkärinkuja 1, 04410 Järvenpää",,60.477401,25.099828
Rauman pääterveysasema,Rauma,,Health Center,"Steniuksenkatu 2, 26100 Rauma",Rauman terveyskeskus. Pääterveysasema,61.129647,21.523898
Lapin terveysasema,Rauma,,Health Center,"Kirkkotie 4, 27230 Lappi",,61.102809,21.841235
Kodisjoen terveysasema,Rauma,,Health Center,"Silontie 5 A, 27310 Kodisjoki",,61.026204,21.689394
Rauman seudun päivystys,Rauma,,Health Center,"Rauman terveyskeskuksen ja Rauman aluesairaalan yhteispäivystys, Steniuksenkatu 2, 26100 Rauma", Osan kesästä 2016 yöpäivystys Porissa.,61.129647,21.523898
Keskustan terveysasema,Kirkkonummi,,Health Center,"Virkatie 1, 02400 Kirkkonummi","Lääkärien ja hoitajien vastaanotot (Kirkkonummi) (Arkistoitu – Internet Archive), Terveysasemat - Kiirevastaanotto ja päivystys (Kirkkonummi) (Arkistoitu – Internet Archive)",60.120458,24.438856
Masalan terveysasema,Kirkkonummi,,Health Center,"Puolukkamäki 12, 02430 Masala",Lääkärien ja hoitajien vastaanotot (Kirkkonummi) (Arkistoitu – Internet Archive),13.91667,-88.08333
Veikkolan terveysasema,Kirkkonummi,,Health Center,"Koskentie 3, 02880 Veikkola",Lääkärien ja hoitajien vastaanotot (Kirkkonummi) (Arkistoitu – Internet Archive),60.269428,24.443508
Etelä-Tuusulan sosiaali- ja terveysasema,Tuusula,,Health Center,"Hyryläntie 13, 04300 Tuusula",,60.401691,25.025436
Jokelan terveysasema,Tuusula,,Health Center,"Opintie 1, 05400 Jokela",,60.551449,24.964242
Kellokosken terveysasema,Tuusula,,Health Center,"Kuntotaival 2, 04500 Kellokoski",,60.530812,25.096155
Hyrynsalmen terveysasema,Hyrynsalmi,,Health Center,"Kiviöntie 11, 89400 Hyrynsalmi",Hyrynsalmen terveysaseman vastaanotto,64.680699,28.492346
Kajaanin yleislääketieteen poliklinikka (Kajaanin pääterveysasema),Kajaani,,Health Center,"Sotkamontie 13, 87100 Kajaani","Kajaani, Yleislääketieteen poliklinikka (ylepkl)",64.214362,27.728134
Kuhmon terveysasema,Kuhmo,,Health Center,"Kirkkotie 16-20, 88900 Kuhmo",Kuhmon terveysaseman vastaanotto,64.125784,29.504899
Paltamon terveysasema,Paltamo,,Health Center,"Sairaalatie 7, 88300 Paltamo",Paltamon terveysaseman vastaanotto,64.405807,27.841112
Ristijärven terveysasema,Ristijärvi,,Health Center,"Saukontie 1, 88400 Ristijärvi",Ristijärven terveysaseman vastaanotto,64.5005,28.217504
Sotkamon terveysasema,Sotkamo,,Health Center,"Keskuskatu 9, 88600 Sotkamo",Sotkamon terveysaseman vastaanotto,64.132425,28.390505
Suomussalmen terveysasema,Suomussalmi,,Health Center,"Välskärinkuja 2, 89600 Suomussalmi",Suomussalmen terveysaseman vastaanotto,64.881951,28.895854
Vuolijoen terveysasema,Kajaani,,Health Center,"Papintie 2, 88270 Vuolijoki","Kajaani, Vuolijoen terveysaseman vastaanotto",64.177129,27.007013
Kainuun keskussairaalan yhteispäivystys,Kajaani,,Health Center,"Sotkamontie 13, 87300 Kajaani",(Kainuun keskussairaalan) Yhteispäivystys (Arkistoitu – Internet Archive),64.214362,27.728134
Savonlinnan pääterveysasema,Savonlinna,,Health Center,"Pihlajavedentie 8, 57170 Savonlinna",Savonlinnan pääterveysasema (Arkistoitu – Internet Archive),61.87409,28.847458
Kerimäen terveysasema,Savonlinna,,Health Center,"Hälväntie 3, 58200 Kerimäki",Kerimäen terveysasema (Arkistoitu – Internet Archive),61.913455,29.288057
Punkaharjun terveysasema,Savonlinna,,Health Center,"Kauppatie 22, 58500 Punkaharju",Punkaharjun terveysasema (Arkistoitu – Internet Archive),61.756692,29.39031
